query,title,url,snippet,source
velo shop zürich,10 Best Cafés in Zürich,https://tel.search.ch/Zürich/swift-hub-1,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Swift Hub 1 on Moneyhouse,https://tel.search.ch/Zürich/swift-hub-1,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Swift Hub 1 – Reviews on Search.ch,https://www.moneyhouse.ch/en/company/swift-hub-1,Sample snippet about the business or unrelated content.,Moneyhouse.ch
velo shop zürich,Metro Hub 2 on Moneyhouse,https://tel.search.ch/Basel/metro-hub-2,Sample snippet about the business or unrelated content.,Search.ch
e-scooter rental bern,Metro Hub 2 on Moneyhouse,https://metrohub2.bikeswiss.ch,Sample snippet about the business or unrelated content.,Other
car sharing basel,Pet grooming services near me,https://tel.search.ch/Basel/metro-hub-2,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Swift Wheels 3 on Moneyhouse,https://randomblog.example.com/swift-wheels-3,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Swift Wheels 3 on Moneyhouse,https://randomblog.example.com/swift-wheels-3,Sample snippet about the business or unrelated content.,Other
car sharing basel,Swift Wheels 3 on Moneyhouse,https://tel.search.ch/Zürich/swift-wheels-3,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,10 Best Cafés in Zürich,https://urbanwheels4.escoots.io,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Urban Wheels 4 – Official Site,https://www.moneyhouse.ch/en/company/urban-wheels-4,Sample snippet about the business or unrelated content.,Moneyhouse.ch
car sharing basel,Pet grooming services near me,https://tel.search.ch/Zürich/urban-wheels-4,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Pet grooming services near me,https://www.moneyhouse.ch/en/company/eco-wheels-5,Sample snippet about the business or unrelated content.,Moneyhouse.ch
e-scooter rental bern,Eco Wheels 5 on Moneyhouse,https://www.moneyhouse.ch/en/company/eco-wheels-5,Sample snippet about the business or unrelated content.,Moneyhouse.ch
car sharing basel,Eco Wheels 5 on Moneyhouse,https://randomblog.example.com/eco-wheels-5,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Pet grooming services near me,https://www.moneyhouse.ch/en/company/urban-hub-6,Sample snippet about the business or unrelated content.,Moneyhouse.ch
e-scooter rental bern,Urban Hub 6 on Moneyhouse,https://randomblog.example.com/urban-hub-6,Sample snippet about the business or unrelated content.,Other
car sharing basel,Public EV Charging Map Switzerland,https://randomblog.example.com/urban-hub-6,Sample snippet about the business or unrelated content.,Other
velo shop zürich,Nova Ride 7 – Reviews on Search.ch,https://randomblog.example.com/nova-ride-7,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Nova Ride 7 – Official Site,https://tel.search.ch/Winterthur/nova-ride-7,Sample snippet about the business or unrelated content.,Search.ch
car sharing basel,Nova Ride 7 on Moneyhouse,https://tel.search.ch/Winterthur/nova-ride-7,Sample snippet about the business or unrelated content.,Search.ch
velo shop zürich,Public EV Charging Map Switzerland,https://ecoride8.example.com,Sample snippet about the business or unrelated content.,Other
e-scooter rental bern,Eco Ride 8 – Official Site,https://www.moneyhouse.ch/en/company/eco-ride-8,Sample snippet about the business or unrelated content.,Moneyhouse.ch
